TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,17280,261619,OCEANIA
Imports,DBN,Durban,US,United States,ZA,South Africa,02071420,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,73482.22,323974,AMERICA
Imports,DBN,Durban,PY,Paraguay,ZA,South Africa,02023000,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02023000 - Boneless,56000,811022,AMERICA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02044200,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,135118.93,1527510,OCEANIA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02062100,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062100 - Tongues,11859.2,58590,OCEANIA
Imports,DBN,Durban,NL,Netherlands,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,27270,264446,EUROPE
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02062900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,194127.13,1577672,OCEANIA
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02062200,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,157186.77,1039359,EUROPE
Imports,DBN,Durban,IT,Italy,ZA,South Africa,02101900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02101900 - Other,2629.66,175428,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,25390,154943,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",24350,157301,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02032990,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,24000,334367,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,221842,928348,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02023000,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02023000 - Boneless,27000,384196,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,119994,2408684,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02071210,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,681531,2317774,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02071290,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,50923,189186,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02071210,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,500244,2109431,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,199485.3,3150848,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071420,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,25200,105083,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02032990,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,26975.5,201452,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,74877,544920,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02062900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,42455.44,252994,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02071420,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,25034.1,100065,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,24000,270459,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,50000,1562259,EUROPE
Imports,DBN,Durban,CL,Chile,ZA,South Africa,02071290,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,144000,431024,AMERICA
Imports,DBN,Durban,CA,Canada,ZA,South Africa,02032990,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,124880.99,1818789,AMERICA
Imports,DBN,Durban,CA,Canada,ZA,South Africa,02032200,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02032200 - Hams, Shoulders And Cuts Thereof, With Bone In",49969.72,721465,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",1309305.39,13063039,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,1309832,12199886,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071210,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,5668650.5,16813736,AMERICA
Imports,DBN,Durban,BE,Belgium,ZA,South Africa,02071210,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,702000,2373793,EUROPE
Imports,DBN,Durban,CA,Canada,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",201967.2,1832396,AMERICA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02044200,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,110315.8,1104786,OCEANIA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071420,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,342380,1983694,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02071410,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071410 - Boneless cuts,491969,7147773,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071210,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,233550,730441,AMERICA
Imports,CTN,Cape Town,FR,France,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,25000,152414,EUROPE
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,50000,247387,EUROPE
